Source,Target,Weight
imwithher,bros4hillary,199
imwithher,strongertog,199
imwithher,mi,197
imwithher,artistsforhillar,197
imwithher,earlyvote,196
imwithher,lgbtq,196
imwithher,progressisontheballot,195
imwithher,imalwaysinspiredby,195
imwithher,unite,194
imwithher,fraud,193
imwithher,nevertr,192
imwithher,wi,191
imwithher,getoutandvote,189
imwithher,uspoli,189
imwithher,ivotedearly,188
imwithher,turnncblue,188
imwithher,gotv4hrc,187
imwithher,latinovote,186
imwithher,t,185
imwithher,runupthescore,185
imwithher,welovehillary,184
imwithher,speakerryan,182
imwithher,un,182
imwithher,obamacare,182
imwithher,comeymustgo,182
imwithher,weiner,180
imwithher,benghazi,179
imwithher,gunsense,179
imwithher,flipcongress,179
imwithher,votolatino,177
imwithher,mishecan,175
imwithher,libertarian,175
imwithher,putin,174
imwithher,nh,173
imwithher,tx,173
imwithher,istandwithhillary,172
imwithher,werewithher,172
imwithher,tntwee,171
imwithher,huma,169
imwithher,notrump,167
imwithher,everydaysexism,166
imwithher,ivankatrump,166
imwithher,u,165
imwithher,hi,164
imwithher,diversity,164
imwithher,ad,163
imwithher,senjohnmccain,163
imwithher,dncinphl,163
imwithher,republicans,163
imwithher,nv,161
imwithher,topprog,161
imwithher,hillaryemail,160
imwithher,truth,160
imwithher,democrat,160
imwithher,buildthewall,159
imwithher,decision2016,159
imwithher,misogyny,158
imwithher,podesta,158
imwithher,womenvote,157
imwithher,wisconsin,157
imwithher,stronge,156
imwithher,uni,155
imwithher,cbs,155
imwithher,imwithhernow,154
imwithher,hillbots,152
imwithher,dump,152
imwithher,fbimwithher,151
imwithher,veritas,150
imwithher,trumprally,149
imwithher,l,148
imwithher,scu,148
imwithher,hillaryclint,147
imwithher,8days,147
imwithher,imwithamerica,147
imwithher,momsdemandhillary,147
imwithher,paytoplay,147
imwithher,fee,146
imwithher,strong,146
imwithher,indiana,145
imwithher,hilaryclinton,145
imwithher,georgi,144
imwithher,lies,144
imwithher,arizona,144
imwithher,nomorenukes,143
imwithher,racist,143
imwithher,libcrib,142
imwithher,breaking,142
imwithher,kids,142
imwithher,itsinourhands,142
imwithher,bigleaguetruth,141
imwithher,uslatino2,141
imwithher,dem,140
imwithher,2016election,140
imwithher,meetthepress,140
imwithher,emails,140
imwithher,imwithyou,140
imwithher,liar,140
imwithher,uniteb,140
imwithher,latinos,140
imwithher,followthemoney,140
imwithher,ivankatheterrible,139
imwithher,podesta25,139
imwithher,strongerto,139
imwithher,hillaryclintonforpresident,139
imwithher,va10,138
imwithher,trumppence2016,138
imwithher,arizon,138
imwithher,latinosforhillary,138
imwithher,dealmein,138
imwithher,turntexasblue,137
imwithher,abc,137
imwithher,ncvotesearly,136
imwithher,imstillwithher,136
imwithher,votedemocrat,135
imwithher,neverhilla,135
imwithher,mondaymorning,135
imwithher,witchh,135
imwithher,tr,134
imwithher,whereshuma,134
imwithher,tntw,133
imwithher,miami,132
imwithher,turncongressblue,132
imwithher,tpp,132
imwithher,lockerherup,131
imwithher,tn,131
imwithher,prayf,131
imwithher,flipitblue,131
imwithher,undecided2016,131
imwithher,ccot,129
imwithher,flipblue,126
imwithher,votebluedowntheballot,126
imwithher,wiunion,126
imwithher,clintoncorruption,126
imwithher,mothersofthemovement,125
imwithher,wearewithher,125
imwithher,news,124
imwithher,worldseries,124
imwithher,republicansforhil,124
imwithher,n,123
imwithher,countercoup,123
imwithher,soulstothepolls,123
imwithher,veritasproject,122
imwithher,comeyresign,122
imwithher,msm,122
imwithher,corrupthillary,122
imwithher,hisnamewassethrich,122
imwithher,hillaryc,121
imwithher,racism,121
imwithher,thewalkingdead,121
imwithher,makeamericasafeagain,120
imwithher,michigan,120
imwithher,kkk,120
imwithher,comeys,120
imwithher,feelthe,120
imwithher,truepundit,119
imwithher,gohillarygo,119
imwithher,loser,118
imwithher,plannedparenthood,118
imwithher,tntweeter,117
imwithher,trumps,117
imwithher,nbc,116
imwithher,donaldtrumps,116
imwithher,rape,116
imwithher,vote4hillary,116
imwithher,fbiemails,116
imwithher,dirtydon,116
imwithher,lovetr,116
imwithher,gohilary,115
imwithher,wipolitics,115
imwithher,latinovotematter,115
imwithher,hillaryforprison2016,115
imwithher,yemenisstarving,115
imwithher,inners,114
imwithher,herstory,114
imwithher,emailscandal,114
imwithher,poll,113
imwithher,trumpforprison,113
imwithher,voteforhillary,112
imwithher,hillarycli,112
imwithher,trumpindetroit,112
imwithher,stopthepot,112
imwithher,doyourjob,112
imwithher,voters,111
imwithher,clintonfdn,111
imwithher,enlistforher,109
imwithher,estoyconella,109
imwithher,virwinia,109
imwithher,dallas,107
imwithher,podestaemails16,107
imwithher,lockhimup,107
imwithher,blueforbernie,106
imwithher,virginia,106
imwithher,neverevertrump,106
imwithher,tntwe,106
imwithher,womanpower,105
imwithher,nevert,105
imwithher,tntweete,105
imwithher,themoreyouknow,105
imwithher,hillar,105
imwithher,gaysfortrump,105
imwithher,taxretruns,104
imwithher,naacp,104
imwithher,yourvotematters,103
imwithher,hillary20,102
imwithher,crooked,102
imwithher,debates,102
imwithher,hillarysamerica,102
imwithher,nastycatwoman,102
imwithher,demandpaperballots,101
imwithher,landslide,101
imwithher,boycotttrump,101
imwithher,mepolitics,100
imwithher,hillarys,100
imwithher,hillaryclintons,100
imwithher,colorado,100
imwithher,africanamerican,100
imwithher,votetrumppence16,100
imwithher,doj,99
imwithher,tellafriendtuesday,99
imwithher,m,98
imwithher,clintons,98
imwithher,idaho,98
imwithher,votehillaryclinton,98
imwithher,votebluedowntheticket,98
imwithher,clintoncrimefamily,98
imwithher,hillyeah,98
imwithher,therealdonaldtrump,97
imwithher,harryreid,97
imwithher,fucktrump,97
imwithher,womenpower,97
imwithher,johnoliver,96
imwithher,nygvsla,96
imwithher,pjnet,96
imwithher,newhampshire,96
imwithher,resigncomey,96
imwithher,fightforher,95
imwithher,iowin,95
imwithher,crapo,95
imwithher,american,95
imwithher,billmaher,94
imwithher,lov,94
imwithher,hrc2016,94
imwithher,women4hillary,93
imwithher,stongertogether,93
imwithher,unit,93
imwithher,corrupt,93
imwithher,utah,93
imwithher,c,92
imwithher,trumpisunfit,92
imwithher,hillaryemailscandal,92
imwithher,clinton2016,92
imwithher,mondaymotivation,92
imwithher,dikileaks,92
imwithher,allowedtohaveanopinion,91
imwithher,donttweetmeyourtrumphate,91
imwithher,hillarystrong,91
imwithher,uselection,90
imwithher,feminism,90
imwithher,fbicomey,90
imwithher,ncsen,90
imwithher,scotus,90
imwithher,9days,89
imwithher,hilliary,89
imwithher,feelthbern,89
imwithher,moms,89
imwithher,treatyourselfin3words,89
imwithher,lovetrumps,88
imwithher,ma,88
imwithher,hatchact,87
imwithher,badhombres,87
imwithher,transthevote,87
imwithher,boycott,87
imwithher,goodgirlsrevolt,87
imwithher,lovewins,87
imwithher,berniesandersmatters,86
imwithher,got,86
imwithher,dickileaks,86
imwithher,sexist,86
imwithher,democratsforhillary,86
imwithher,huffpost,85
imwithher,st,85
imwithher,texasvotes2016,85
imwithher,putinspuppet,85
imwithher,pasen,84
imwithher,trumptaxes,84
imwithher,el,83
imwithher,standwithhillary,83
imwithher,trumph,83
imwithher,climatechange,83
imwithher,clintonscandals,83
imwithher,defeattrump,83
imwithher,ut,82
imwithher,imwithherdayum,82
imwithher,riggedelection,82
imwithher,voteyourpower,82
imwithher,idontwanttoalarmyou,81
imwithher,muslims,81
imwithher,downballot,81
imwithher,billclintonisarapist,81
imwithher,votedem,81
imwithher,giveemhill,81
imwithher,ia,80
imwithher,mag,80
imwithher,lolitaexpress,80
imwithher,cubs,80
imwithher,crookeddonald,80
imwithher,happy,80
imwithher,nasty,79
imwithher,syriagate,79
imwithher,black,78
imwithher,rt,78
imwithher,altright,78
imwithher,voteblueupanddownballot,78
imwithher,hillary4prison,78
imwithher,phase3,78
imwithher,voteoutgop,78
imwithher,fallback,77
imwithher,nodpal,77
imwithher,str,77
imwithher,womenwhovotetrump,76
imwithher,blacktwitter,76
imwithher,basementdwellers,76
imwithher,stopputin,75
imwithher,voted,75
imwithher,whyimwithher,75
imwithher,enoughisenough,75
imwithher,abuse,75
imwithher,california,75
imwithher,votersuppression,74
imwithher,madam,74
imwithher,wegohigh,74
imwithher,nastywomenmakehistory,74
imwithher,standwithpp,74
imwithher,emailgate,73
imwithher,womancard,73
imwithher,criminalbehavior,72
imwithher,investigation,72
imwithher,makeaplan,72
imwithher,va4hc,72
imwithher,debateelection,71
imwithher,timkaine,71
