Source,Target,Weight
maga,alwaystrump,15
maga,leadright2016,15
maga,lawenforcement,15
maga,trumpnation,15
maga,traitors,15
maga,concessionspeech,15
maga,electionnig,15
maga,berniesanders,14
maga,bernie,14
maga,acchedin,14
maga,sickburn,14
maga,liberallogic,14
maga,potuselecttrump,14
maga,pepe,14
maga,americadecides,14
maga,choochoo,14
maga,electi,14
maga,elect,13
maga,nevertrumpersthe,13
maga,yuge,13
maga,praywithoutceasing,13
maga,1a,13
maga,lgbt,13
maga,ele,13
maga,outnumbered,13
maga,452,13
maga,corruptmedia,13
maga,crookedhi,13
maga,trumptra,13
maga,immigration,13
maga,heretostay,13
maga,comey,13
maga,scotus,13
maga,liveforjesus,13
maga,strongertogether,13
maga,protesters,13
maga,sanctuarycities,13
maga,millennials,13
maga,silentmajority,12
maga,goodbye,12
maga,love,12
maga,podesta,12
maga,proudamerican,12
maga,uniteblue,12
maga,vancouver,12
maga,liberal,12
maga,merica,12
maga,trumps,12
maga,foxldt,12
maga,freedom,12
maga,thewall,12
maga,hewitt,11
maga,tweet,11
maga,trumpprote,11
maga,pres,11
maga,notmypreaident,11
maga,samuelljackson,11
maga,bryancranston,11
maga,militaryfortrump,11
maga,el,11
maga,conservative,11
maga,americans,11
maga,604,11
maga,unity,11
maga,mega,11
maga,yvr,11
maga,pinoyprince,11
maga,vancity,11
maga,imwithher2016,11
maga,drainthemedia,11
maga,icymi,11
maga,ycot,10
maga,presi,10
maga,magabloodinmyveins,10
maga,whitehouse,10
maga,crybabies,10
maga,family,10
maga,americansfortrump,10
maga,uspoli,10
maga,mikepence,10
maga,cosproject,10
maga,ourrevolution,10
maga,elec,10
maga,pa,10
maga,hrc2016,10
maga,72days,10
maga,lifeisgood,10
maga,unite,10
maga,trumpapocalypse,10
maga,imwither,10
maga,christiansfortrump,10
maga,women4trump,10
maga,trumpsfirsto,10
maga,red,10
maga,haiti,10
maga,crookedhil,10
maga,bitchez,10
maga,noamnesty,10
maga,safespace,10
maga,dems,10
maga,pennsylvania,9
maga,trumpismypresident,9
maga,libtard,9
maga,jesus,9
maga,magaselfie,9
maga,podestaemails35,9
maga,freeassange,9
maga,empire,9
maga,bikers4trump,9
maga,media,9
maga,enforcethelaw,9
maga,news,9
maga,jewsfortrump,9
maga,killaryforprison,9
maga,trumparmy,9
maga,raincoucer,9
maga,electionshaveconsequences,9
maga,jamescomey,9
maga,electio,9
maga,rudy,9
maga,thankyou,9
maga,movement,9
maga,caring,9
maga,losers,9
maga,republicans,9
maga,trumpsters,9
maga,trumplandslide,9
maga,klout,9
maga,notmypresdient,9
maga,realbencarson,9
maga,trumpwin,9
maga,hill,9
maga,boycottcnn,9
maga,illegalimmigrants,8
maga,txlege,8
maga,infosec16,8
maga,climatechange,8
maga,neverforget,8
maga,gamergate,8
maga,policelivesmatter,8
maga,constitution,8
maga,maga2016,8
maga,byefelicia,8
maga,politics,8
maga,nyc,8
maga,ai,8
maga,seattle,8
maga,islamophobia,8
maga,nevertrumpers,8
maga,shelost,8
maga,trumppencelandslide,8
maga,getajob,8
maga,growthhacking,8
maga,jujuonthatbeat,8
maga,wiright,8
maga,godbless,8
maga,lationswithtrump,8
maga,black4trump,8
maga,presidentialelection,8
maga,michigan,8
maga,trumprepublicans,8
maga,christians4trump,8
maga,cycling,8
maga,ivotedtrump,8
maga,m,7
maga,butthurt,7
maga,podestaem,7
maga,integrity,7
maga,clintonscandals,7
maga,twitter,7
maga,clintons,7
maga,vicepresidentpence,7
maga,goodbyeobama,7
maga,establishment,7
maga,polls,7
maga,republican,7
maga,ohio,7
maga,disharmony,7
maga,peacetalks,7
maga,prettymuch,7
maga,trump2020,7
maga,hillarycare,7
maga,salty,7
maga,trumppe,7
maga,hillaryclintonemails,7
maga,bethepositive,7
maga,potus2016,7
maga,breaking,7
maga,rt,7
maga,drainthe,7
maga,spreaker,7
maga,oakland,7
maga,basketbuddies,7
maga,trumpsigns,7
maga,landslide,7
maga,you,7
maga,bluecollarconservative,7
maga,drudgereport,7
maga,endthefed,7
maga,trumpvictory,7
maga,usa2016,7
maga,youlost,7
maga,agenda,7
maga,godblesstrump,7
maga,hillarysamerica,7
maga,hillaryforprision,7
maga,united,7
maga,hillary4prison,7
maga,ausbiz,7
maga,asx,7
maga,debate,7
maga,sheeple,7
maga,discourse,7
maga,billmitchell,7
maga,bringdownthering,7
maga,congrats,7
maga,change,7
maga,newyorkvalues,7
maga,racist,7
maga,a,6
maga,freeloaders,6
maga,onenationundergod,6
maga,soreloser,6
maga,tri,6
maga,tru,6
maga,godbleesbiafra,6
maga,maddow,6
maga,latinos,6
maga,celebrities,6
maga,cantstumpthetrump,6
maga,miga,6
maga,sjws,6
maga,thedonald,6
maga,womenfor,6
maga,45,6
maga,idiots,6
maga,stopsanctuarycities,6
maga,biafrafortrump,6
maga,drainthestreets,6
maga,nvgop,6
maga,fl4,6
maga,dumptrump,6
maga,regressiveleft,6
maga,mapfz,6
maga,catholicsfortrump,6
maga,iamchoosinglove,6
maga,ne,6
maga,rsbn,6
maga,tr,6
maga,inbound16,6
maga,god,6
maga,makeam,6
maga,utexas,6
maga,veritasproject,6
maga,thankgod,6
maga,dncleak2,6
maga,lockthemup,6
maga,conservatives,6
maga,history,6
maga,stopbreakdowninruleoflaw,6
maga,nypd,6
maga,patriots,6
maga,next4,6
maga,hypocrite,6
maga,crookedhilary,6
maga,vppence,6
maga,thegoodnews,6
maga,poll,6
maga,texas,6
maga,feminism,6
maga,pathetic,6
maga,senate,6
maga,mexico,6
maga,cdnpoli,6
maga,americandreamer,6
maga,juanwilliams,6
maga,alllivesmatter,6
maga,mediabias,6
maga,roar,6
maga,byebye,6
maga,whitelash,6
maga,getongab,5
maga,d,5
maga,hexit,5
maga,honesty,5
maga,gotv,5
maga,4dchess,5
maga,retweet,5
maga,mittens,5
maga,happyend,5
maga,drbencarson,5
maga,msmisdead,5
maga,immigrants,5
maga,bikersfortrump,5
maga,statesman,5
maga,chicago,5
maga,blackpresident,5
maga,heisourpresident,5
maga,pauljosephwatson,5
maga,supremecourt,5
maga,welovetrump,5
maga,respectourcou,5
maga,dts,5
maga,3d,5
maga,california,5
maga,trumppatriot,5
maga,podestaemails32,5
maga,priceless,5
maga,hewon,5
maga,liberalfascists,5
maga,imwithheralways,5
maga,boston,5
maga,jpnet,5
maga,bravo,5
maga,innercities,5
maga,nbc,5
maga,nex,5
maga,ananavarro,5
maga,safespaces,5
maga,florida,5
maga,newdayinamerica,5
maga,commoncore,5
maga,trumped,5
maga,bigleague,5
maga,great,5
maga,realitycheck,5
maga,howsweetitis,5
maga,veritas,5
maga,whoopigoldberg,5
maga,topkek,5
maga,fl,5
maga,glassceiling,5
maga,congress,5
maga,billclinton,5
maga,enemyofthestate,5
maga,electionresult,5
maga,followthem,5
maga,trumpeffect,5
maga,ifiwerepotus,5
maga,equaljusticeunderlaw,5
maga,foxnews,5
maga,orpuw,5
maga,prestrump,5
maga,china,5
maga,women4tru,5
maga,america1st,5
maga,bulleye,5
maga,dncleaks,5
maga,tuitionrefund,5
maga,whatsinyourwallet,5
maga,hypocrits,5
maga,suckitup,5
maga,lawamporder,5
maga,2016,5
maga,proudboys,5
maga,novembersuprise,5
maga,trumpeconomy,5
maga,abc,5
maga,julianasange,5
maga,trumpp,5
maga,sourgrapes,5
maga,onlytrump,5
maga,repealobamacare,5
maga,middleclass,5
maga,podestaleaks,5
maga,sendusap,5
maga,doublestandard,5
maga,lgbtq,5
maga,smh,5
maga,trumpthatbitch,5
maga,rwds,5
maga,govote,5
maga,neverhil,5
maga,2ndamendment,5
maga,bye,5
maga,unbornlivesmatter,5
maga,humility,5
maga,texasf,5
maga,americawon,5
maga,nobodys,4
maga,voterfraud,4
maga,burnitdown,4
maga,biasedmedia,4
maga,tpp,4
maga,arizona,4
maga,thankyoujesus,4
maga,house,4
maga,takeourcountryback,4
maga,cucks,4
maga,insufferable,4
maga,hissyfit,4
maga,obamain4words,4
maga,pollsters,4
maga,womenwhovotetrump,4
maga,boycott,4
maga,utopia,4
maga,dowi,4
maga,jesuslovetruthpower,4
maga,dontpanic,4
maga,weloveyoudonald,4
maga,pardonjulian,4
maga,melania,4
maga,destino2016,4
maga,maha,4
maga,civilwar,4
maga,mfa,4
maga,itwillbeok,4
maga,protestvote,4
maga,pocahontas,4
maga,americaisoverpar,4
maga,trumppence1,4
maga,whitepride,4
maga,next4yearsin4,4
maga,clintoncrimefamily,4
maga,polqc,4
maga,italians4trump,4
maga,votetrumpmaga,4
maga,mememagic,4
maga,handcrafted,4
maga,ridiculous,4
maga,freebiafra,4
maga,amish,4
maga,bushes,4
maga,millenials,4
maga,backtheblue,4
maga,handmadehour,4
maga,americanmade,4
maga,treason,4
maga,fbi,4
maga,michiganfortrump,4
maga,politicalrevolution,4
maga,byeobama,4
maga,humantrafficking,4
maga,win,4
maga,americahasspoken,4
maga,blackconservatives4trump,4
maga,wow,4
maga,fo,4
maga,projectveritas,4
maga,koolade,4
maga,thetriggering,4
maga,ln,4
maga,americansfirst,4
maga,nc,4
maga,trumpence,4
maga,potus45,4
maga,californiarepublic,4
maga,biafraland,4
maga,muslims,4
maga,dnc2016,4
maga,th,4
maga,proudmom,4
maga,magasohard,4
maga,protesting,4
maga,we,4
maga,wh,4
maga,wr,4
maga,mrpresident,4
maga,molonlabe,4
maga,hahnamerica,4
maga,blp3,4
maga,turnoffthetv,4
maga,trumpnotmypresident,4
maga,rachelmaddow,4
maga,waar,4
maga,abolishirs,4
maga,winner,4
maga,paytoplay,4
maga,justsaying,4
maga,liberty,4
maga,deportation,4
maga,hil,4
maga,prayforamerica,4
maga,values,4
maga,votetrump2016,4
maga,tuesdaymotivation,4
