Source,Target,Weight
election2016,tntweeters,69
election2016,christian,69
election2016,lsu,69
election2016,electionnews,68
election2016,flipitdem,67
election2016,realtalk,67
election2016,2a,67
election2016,deplorable,67
election2016,trumpisdangerous,67
election2016,saturnodevorandoasuhijo,67
election2016,clintonkaine2016,67
election2016,yyc,66
election2016,emailscandal,66
election2016,electi,66
election2016,robertredford,65
election2016,538,65
election2016,blackboxvoting,65
election2016,ncsen,65
election2016,scotus,65
election2016,vapol,65
election2016,podestaemails25,65
election2016,democrat,65
election2016,socialist,65
election2016,peanuts,64
election2016,education,64
election2016,youin,64
election2016,drumpf,64
election2016,election16,64
election2016,nbc,64
election2016,msnbc,64
election2016,cubswin,64
election2016,swingstate,63
election2016,getoutthevote,63
election2016,michelleobama,63
election2016,fridayfeeling,63
election2016,game7,63
election2016,7days,63
election2016,abc,62
election2016,blm,62
election2016,earlyvote,61
election2016,womenvote,60
election2016,dontboovote,60
election2016,hillaryforamerica,60
election2016,bridgegate,59
election2016,wisconsin,59
election2016,trumpdanger,59
election2016,podesta,58
election2016,doyourjob,58
election2016,merica,58
election2016,electio,58
election2016,donthecon,58
election2016,conan,58
election2016,getoutandvote,57
election2016,vote16,57
election2016,hemp,57
election2016,7dayselection2016,57
election2016,electoralcollege,57
election2016,healthcare,57
election2016,themoreyouknow,57
election2016,uselection2016,57
election2016,whyimwithher,57
election2016,notmeus,57
election2016,latinos,57
election2016,badhombres,57
election2016,justvote,56
election2016,corruptmedia,56
election2016,thejoepagsshow,56
election2016,steinbaraka,56
election2016,didyouknow,56
election2016,cbs,56
election2016,fyi,55
election2016,history,55
election2016,leavethedemocratplantation,55
election2016,clinton2016,55
election2016,imintoo,54
election2016,podestaemails29,54
election2016,cnbc,54
election2016,dems,54
election2016,voted,53
election2016,potus2016,53
election2016,virginia,53
election2016,yeson64,53
election2016,uspolitics,53
election2016,ohi,53
election2016,lgbtq,53
election2016,voters,52
election2016,mattlauer,52
election2016,georgestephanopoulos,52
election2016,gma,52
election2016,cnnnewday,52
election2016,melaniatrump,52
election2016,maddow,52
election2016,msm,52
election2016,halloween,52
election2016,robinroberts,52
election2016,meditation,52
election2016,todayshow,52
election2016,bernie,51
election2016,cyberbullying,51
election2016,lgbt,51
election2016,trumpism,50
election2016,greenparty,50
election2016,cdnpoli,50
election2016,wikileaksemail,50
election2016,notokay,50
election2016,stoptppnow,50
election2016,conannyc,50
election2016,oea,50
election2016,imwithyou,49
election2016,neverhilla,49
election2016,nasty,49
election2016,liberty,49
election2016,debatenight,49
election2016,edchat,48
election2016,etatsunis,48
election2016,hilaryclinton,48
election2016,cybersecurity,48
election2016,riggedelection,47
election2016,wtf,47
election2016,ballots,47
election2016,uselections2016,47
election2016,yeswecan,47
election2016,ballot,47
election2016,icymi,47
election2016,weneednine,46
election2016,newhampshire,46
election2016,freedom,46
election2016,law,46
election2016,media,46
election2016,putin,46
election2016,teamgov,46
election2016,clintons,45
election2016,sa,45
election2016,altright,45
election2016,anypollapp,45
election2016,1uvote,45
election2016,foroglobal,45
election2016,boycotttrumpy,44
election2016,art,44
election2016,presidential,44
election2016,emails,43
election2016,voteblue2016,43
election2016,chicago,43
election2016,comedy,43
election2016,flipthesenate,43
election2016,hillaryindict,43
election2016,votehillary,43
election2016,comiccon,43
election2016,anonymous,43
election2016,benghazi,43
election2016,basementdwellers,43
election2016,trump16,42
election2016,islam,42
election2016,jobsreport,42
election2016,peace,42
election2016,johnsonweld2016,42
election2016,votegreen,42
election2016,satanicpodesta,41
election2016,evanmcmullin,41
election2016,trumpobama,41
election2016,jobs,41
election2016,clintonvstrump,40
election2016,imwi,40
election2016,bitcoin,40
election2016,clintoncrimefamily,40
election2016,coleg,40
election2016,president2016,40
election2016,hillaryhealth,40
election2016,gold,39
election2016,finance,39
election2016,uslatino,39
election2016,faith,39
election2016,la,39
election2016,koch,39
election2016,fucktrump,39
election2016,weinermail,39
election2016,congress,39
election2016,hannity,39
election2016,3wordmotivationspeech,38
election2016,civicduty,38
election2016,doj,38
election2016,facebook,38
election2016,fractionmagic,38
election2016,hillaryf,38
election2016,votetrumppence16,38
election2016,whoopswentoverthree,38
election2016,podestaemails27,38
election2016,8-Nov,38
election2016,trumprape,38
election2016,comeymustgo,38
election2016,shouldhavestayedou,37
election2016,video,37
election2016,bigdata,37
election2016,streamelex,37
election2016,elevatethevote,37
election2016,worldseriesgame7,37
election2016,gohillary,37
election2016,trumpstiestorussia,37
election2016,trump2,37
election2016,business,36
election2016,myvotetoday,36
election2016,voteyourpower,36
election2016,natsec,36
election2016,infosec,35
election2016,md,35
election2016,ut,35
election2016,2adefenders,35
election2016,bluehand,35
election2016,investigationinception,35
election2016,politics101,35
election2016,newyork,35
election2016,votocrat,35
election2016,life,35
election2016,vote411,35
election2016,talk,35
election2016,stophillary,35
election2016,h,34
election2016,nationalsecurity,34
election2016,buhbyetrump,34
election2016,nationalstressawarenessday,34
election2016,progressives,34
election2016,go,34
election2016,voteyourconscience,34
election2016,hiphop,34
election2016,hillaryclint,34
election2016,jill2016,34
election2016,catholic,34
election2016,ingridnekokesswood,34
election2016,wwiii,34
election2016,republicansforhillary,34
election2016,youdecide2016,34
election2016,prolife,34
election2016,miami,34
election2016,colorado,34
election2016,blackwomenvote,34
election2016,hillary2016democratsellentubeellendegeneres,34
election2016,latinovote,33
election2016,twill,33
election2016,mngop,33
election2016,votewithpaper,33
election2016,cyberattack,33
election2016,thirdparty,33
election2016,penceamovie,33
election2016,legalize,33
election2016,liveballot,33
election2016,trumpsarmy,33
election2016,humaabedin,33
election2016,debate2016,33
election2016,boston,32
election2016,win,32
election2016,fb,32
election2016,electionfatigue,32
election2016,yourvotematters,32
election2016,ows,32
election2016,louisck,32
election2016,sschat,32
election2016,electionnight,32
election2016,d,31
election2016,letsgohillary,31
election2016,yourvotecounts,31
election2016,podcast,31
election2016,science,31
election2016,millennial,31
election2016,imwithtur,31
election2016,american,31
election2016,2016,31
election2016,earlyvoters,31
election2016,m,30
election2016,trumpfbicodename,30
election2016,taxes,30
election2016,sayfie,30
election2016,geto,30
election2016,hsgovchat,30
election2016,greenpartyus,30
election2016,anthonywiener,30
election2016,blog,30
election2016,clintoncorruption,30
election2016,quote,30
election2016,mcmullinfinn,30
election2016,policereform,30
election2016,powherthevote,29
election2016,assange,29
election2016,1u,29
election2016,crookeddonald,29
election2016,fbisongs,29
election2016,climate,29
election2016,fed,29
election2016,ai,29
election2016,voter,29
election2016,security,29
election2016,edtech,29
election2016,senate,29
election2016,varne,29
election2016,breakingpoll,29
election2016,utpol,29
election2016,blackvoters,29
election2016,whotalks,29
election2016,teamthayer,29
election2016,mapoli,28
election2016,googlesurveys360,28
election2016,thehill,28
election2016,stress,28
election2016,georgia,28
election2016,repost,28
election2016,lol,28
election2016,npr,28
election2016,funny,28
election2016,illinois,28
election2016,hillyes,28
election2016,maryland,28
election2016,huffpost,27
election2016,veterans,27
election2016,countdown,27
election2016,love,27
election2016,everyvote,27
election2016,wethepeople,27
election2016,usaelection,27
election2016,sondage,27
election2016,idaho,27
election2016,alpolitics,27
election2016,couricpodcast,27
election2016,clintonsexring,27
election2016,philly,27
election2016,youngvoters,27
